06-29-2025 19:30:04.162,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-29-2025 19:29:23.849,0,RECV,7E000F81000229024E323030302D503031461D
06-29-2025 19:29:23.850,1,RECV,7E000F8100052C024E353030302D5941594ACE
06-29-2025 19:29:23.860,2,RECV,7E000F81000630024E363030302D46364F3208
06-29-2025 19:29:23.899,3,RECV,7E000F81000121024E313030302D474B385AFA
06-29-2025 19:29:23.949,4,RECV,7E000F8100022A024E323030312D333758440C
06-29-2025 19:29:23.950,5,RECV,7E000F8100052C024E353030312D3036385517
06-29-2025 19:29:23.950,6,RECV,7E000F81000630024E363030312D48574438E9
06-29-2025 19:29:23.950,7,RECV,7E000F81000121024E313030312D31484F361F
06-29-2025 19:29:24.000,8,RECV,7E000F8100022A024E323030322D4A585431EA
06-29-2025 19:29:24.020,9,RECV,7E000F8100052D024E353030322D4F4E3844EF
06-29-2025 19:29:24.020,10,RECV,7E000F81000630024E363030322D54394E34F4
06-29-2025 19:29:24.049,11,RECV,7E000F81000121024E313030322D483441530C
06-29-2025 19:29:24.100,12,RECV,7E000F81000229024E323030332D4C365652E7
06-29-2025 19:29:24.101,13,RECV,7E000F8100052E024E353030332D584C4147DA
06-29-2025 19:29:24.101,14,RECV,7E000F81000630024E363030332D4B565A4CBB
06-29-2025 19:29:24.150,15,RECV,7E000F81000121024E313030332D49385953EE
06-29-2025 19:29:24.200,16,RECV,7E000F81000229024E323030342D5847484ADF
06-29-2025 19:29:24.220,17,RECV,7E000F8100052E024E353030342D36584F48E0
06-29-2025 19:29:24.220,18,RECV,7E000F81000630024E363030342D39423757F8
06-29-2025 19:29:24.221,19,RECV,7E000F81000121024E313030342D5A36325800
06-29-2025 19:29:24.250,20,RECV,7E000F81000229024E323030352D4A39324F0B
06-29-2025 19:29:24.300,21,RECV,7E000F8100052E024E353030352D58425837DB
06-29-2025 19:29:24.301,22,RECV,7E000F81000633024E363030352D453235450C
06-29-2025 19:29:24.302,23,RECV,7E000F81000121024E313030352D594C5257CB
06-29-2025 19:29:24.350,24,RECV,7E000F8100022A024E323030362D5239373417
06-29-2025 19:29:24.352,25,RECV,7E000F8100052C024E353030362D49424F54D7
06-29-2025 19:29:24.361,26,RECV,7E000F81000631024E363030362D5145304BED
06-29-2025 19:29:24.400,27,RECV,7E000F81000121024E313030362D5152304AFB
06-29-2025 19:29:24.421,28,RECV,7E000F8100022A024E323030372D454E3946FA
06-29-2025 19:29:24.421,29,RECV,7E000F8100052B024E353030372D3258454AEC
06-29-2025 19:29:24.421,30,RECV,7E000F81000631024E363030372D554D5852B1
06-29-2025 19:29:24.451,31,RECV,7E000F81000121024E313030372D54465A39EA
06-29-2025 19:29:24.501,32,RECV,7E000F8100022A024E323030382D45565244DA
06-29-2025 19:29:24.513,33,RECV,7E000F8100052B024E353030382D31335A48FE
06-29-2025 19:29:24.522,34,RECV,7E000F81000630024E363030382D42355150E5
06-29-2025 19:29:24.551,35,RECV,7E000F81000121024E313030382D474B4545FA
06-29-2025 19:29:24.601,36,RECV,7E000F81000229024E323030392D5533513002
06-29-2025 19:29:24.601,37,RECV,7E000F8100052B024E353030392D544E5630DB
06-29-2025 19:29:24.601,38,RECV,7E000F8100062F024E363030392D4B5A334FD6
06-29-2025 19:29:24.652,39,RECV,7E000F81000121024E313030392D4E4D39320F
06-29-2025 19:29:24.667,40,RECV,7E000F81000229024E323031302D393539313B
