06-10-2025 18:55:48.322,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-10-2025 18:55:29.149,0,RECV,7E000F81000420024E343030302D4431394C1F
06-10-2025 18:55:29.153,1,RECV,7E000F8100062E024E363030302D5A315A34EE
06-10-2025 18:55:29.154,2,RECV,7E000F8100031A024E333030302D55545636EC
06-10-2025 18:55:29.170,3,RECV,7E000F81000534024E353030302D58324738FA
06-10-2025 18:55:29.199,4,RECV,7E000F8100062E024E363030312D4335533803
06-10-2025 18:55:29.200,5,RECV,7E000F8100031A024E333030312D413854361D
06-10-2025 18:55:29.200,6,RECV,7E000F81000534024E353030312D35455659D9
06-10-2025 18:55:29.200,7,RECV,7E000F8100031A024E333030322D564E5730F4
06-10-2025 18:55:29.230,8,RECV,7E000F81000534024E353030322D4546354AF7
06-10-2025 18:55:29.230,9,RECV,7E000F81000420024E343030332D4630384F19
06-10-2025 18:55:29.230,10,RECV,7E000F8100031A024E333030332D4A41464409
06-10-2025 18:55:29.231,11,RECV,7E000F81000535024E353030332D434E4B50D3
06-10-2025 18:55:29.260,12,RECV,7E000F8100062E024E363030342D464234367D31
06-10-2025 18:55:29.260,13,RECV,7E000F8100031A024E333030342D4350554DE8
06-10-2025 18:55:29.260,14,RECV,7E000F81000534024E353030342D47354746F6
06-10-2025 18:55:29.300,15,RECV,7E000F81000833024E383030352D3033334C17
06-10-2025 18:55:29.303,16,RECV,7E000F81000420024E343030352D5242505AD6
06-10-2025 18:55:29.304,17,RECV,7E000F8100062E024E363030352D314E5759D3
06-10-2025 18:55:29.304,18,RECV,7E000F8100031A024E333030352D474A544CEB
06-10-2025 18:55:29.304,19,RECV,7E000F81000534024E353030352D53324636FD
06-10-2025 18:55:29.321,20,RECV,7E000F81000833024E383030362D4D395A43D5
06-10-2025 18:55:29.322,21,RECV,7E000F81000420024E343030362D5232513905
06-10-2025 18:55:29.322,22,RECV,7E000F8100062E024E363030362D354F303914
06-10-2025 18:55:29.322,23,RECV,7E000F8100031A024E333030362D5734594DEA
06-10-2025 18:55:29.322,24,RECV,7E000F81000534024E353030362D56435830DC
06-10-2025 18:55:29.322,25,RECV,7E000F81000833024E383030372D4439374FF4
06-10-2025 18:55:29.373,26,RECV,7E000F81000420024E343030372D46593442FD
06-10-2025 18:55:29.379,27,RECV,7E000F8100062E024E363030372D56545356AD
