1ms,sep_nodes,34,9,76,22,11,97,10,10,0.352,0.315
2ms,sep_nodes,38,1,78,22,15,95,10,18,0.347,0.268
3ms,sep_nodes,31,5,77,28,17,84,20,20,0.352,0.217
4ms,sep_nodes,35,4,77,32,26,98,24,24,0.370,0.370
5ms,sep_nodes,27,29,72,38,42,85,16,33,0.415,0.440
10ms,sep_nodes,66,44,99,67,63,96,30,64,0.690,0.632
15ms,sep_nodes,65,74,98,81,40,98,80,93,0.795,0.677
20ms,sep_nodes,85,73,100,91,84,99,59,87,0.873,0.823
25ms,sep_nodes,89,82,99,93,90,99,87,86,0.907,0.905
30ms,sep_nodes,89,71,99,91,91,99,81,90,0.825,0.902
35ms,sep_nodes,79,80,100,93,89,99,83,92,0.855,0.907
40ms,sep_nodes,92,73,98,97,92,99,90,92,0.900,0.932
50ms,sep_nodes,81,77,100,97,90,100,84,92,0.863,0.950
60ms,sep_nodes,93,79,99,95,88,99,85,92,0.890,0.910
80ms,sep_nodes,91,78,100,99,90,100,85,93,0.920,0.940
100ms,sep_nodes,92,94,94,100,92,98,93,94,0.882,0.943
120ms,sep_nodes,93,73,100,98,95,99,86,96,0.910,0.955
160ms,sep_nodes,92,78,100,99,94,100,86,96,0.922,0.980
200ms,sep_nodes,93,75,100,99,95,100,78,99,0.917,0.930
250ms,sep_nodes,96,62,99,98,89,98,91,96,0.887,0.935
300ms,sep_nodes,91,76,99,99,92,97,85,96,0.915,0.925
350ms,sep_nodes,88,80,99,99,93,96,85,96,0.9125,0.925
400ms,sep_nodes,85,84,99,98,95,95,85,96,0.935,0.910
500ms,sep_nodes,60,83,100,100,97,99,84,98,0.858,0.945
600ms,sep_nodes,77,94,98,99,93,100,90,97,0.920,0.950
700ms,sep_nodes,96,94,100,99,94,100,95,97,0.973,0.965
800ms,sep_nodes,95,67,100,98,95,100,84,98,0.900,0.943
900ms,sep_nodes,94,40,99,99,100,100,93,98,0.830,0.978
1000ms,sep_nodes,95,84,98,99,96,100,87,98,0.940,0.953
1500ms,sep_nodes,91,19,99,98,95,99,85,98,0.767,0.943
2000ms,sep_nodes,94,42,100,100,97,99,61,98,0.840,0.887
2500ms,sep_nodes,41,94,97,100,96,100,82,94,0.830,0.930
