timestamp,node,frame_index,payload
2025-09-07 16:33:31.780,N3,0,N3000-J9SS
2025-09-07 16:33:31.982,N3,1,N3001-SSGO
2025-09-07 16:33:32.183,N3,2,N3002-PVXN
2025-09-07 16:33:32.385,N3,3,N3003-OMS5
2025-09-07 16:33:32.587,N3,4,N3004-0K7N
2025-09-07 16:33:32.789,N3,5,N3005-K4SZ
2025-09-07 16:33:32.991,N3,6,N3006-E2CL
2025-09-07 16:33:33.193,N3,7,N3007-ELXK
2025-09-07 16:33:33.394,N3,8,N3008-ISPY
2025-09-07 16:33:33.596,N3,9,N3009-9S5L
2025-09-07 16:33:33.798,N3,10,N3010-8GRI
2025-09-07 16:33:33.000,N3,11,N3011-3GDP
2025-09-07 16:33:34.202,N3,12,N3012-BIRH
2025-09-07 16:33:34.404,N3,13,N3013-S5A4
2025-09-07 16:33:34.606,N3,14,N3014-BQI4
2025-09-07 16:33:34.808,N3,15,N3015-ZQKM
2025-09-07 16:33:35.010,N3,16,N3016-BWJ3
2025-09-07 16:33:35.211,N3,17,N3017-2KCB
2025-09-07 16:33:35.413,N3,18,N3018-RNCQ
2025-09-07 16:33:35.615,N3,19,N3019-SYHA
2025-09-07 16:33:35.818,N3,20,N3020-HEXZ
2025-09-07 16:33:36.019,N3,21,N3021-H3EO
2025-09-07 16:33:36.221,N3,22,N3022-AOWN
2025-09-07 16:33:36.422,N3,23,N3023-JN00
2025-09-07 16:33:36.624,N3,24,N3024-O1RN
2025-09-07 16:33:36.825,N3,25,N3025-N8WR
2025-09-07 16:33:37.027,N3,26,N3026-BQTC
2025-09-07 16:33:37.229,N3,27,N3027-LGEE
2025-09-07 16:33:37.430,N3,28,N3028-GOPZ
2025-09-07 16:33:37.632,N3,29,N3029-FWAK
2025-09-07 16:33:37.834,N3,30,N3030-6RTS
2025-09-07 16:33:38.035,N3,31,N3031-KU0H
2025-09-07 16:33:38.237,N3,32,N3032-629V
2025-09-07 16:33:38.438,N3,33,N3033-11R3
2025-09-07 16:33:38.640,N3,34,N3034-C36H
2025-09-07 16:33:38.842,N3,35,N3035-8DTB
2025-09-07 16:33:39.043,N3,36,N3036-QG34
2025-09-07 16:33:39.244,N3,37,N3037-CH7T
2025-09-07 16:33:39.446,N3,38,N3038-TWAX
2025-09-07 16:33:39.647,N3,39,N3039-VYID
2025-09-07 16:33:39.849,N3,40,N3040-MMBV
2025-09-07 16:33:40.051,N3,41,N3041-DKK1
2025-09-07 16:33:40.252,N3,42,N3042-1MZ5
2025-09-07 16:33:40.454,N3,43,N3043-0LKQ
2025-09-07 16:33:40.655,N3,44,N3044-EBEQ
2025-09-07 16:33:40.857,N3,45,N3045-MRJU
