timestamp,node,frame_index,payload
2025-09-07 00:27:19.297,N3,0,N3000-EKOH
2025-09-07 00:27:19.309,N3,1,N3001-4ZYD
2025-09-07 00:27:19.322,N3,2,N3002-P69K
2025-09-07 00:27:19.335,N3,3,N3003-KLIJ
2025-09-07 00:27:19.347,N3,4,N3004-OXZK
2025-09-07 00:27:19.358,N3,5,N3005-CAZM
2025-09-07 00:27:19.370,N3,6,N3006-PI2G
2025-09-07 00:27:19.382,N3,7,N3007-TRJW
2025-09-07 00:27:19.394,N3,8,N3008-L6HY
2025-09-07 00:27:19.405,N3,9,N3009-2RXE
2025-09-07 00:27:19.417,N3,10,N3010-YJMP
2025-09-07 00:27:19.428,N3,11,N3011-G0R1
2025-09-07 00:27:19.439,N3,12,N3012-F9LR
2025-09-07 00:27:19.451,N3,13,N3013-WW6O
2025-09-07 00:27:19.462,N3,14,N3014-0XOT
2025-09-07 00:27:19.474,N3,15,N3015-3239
2025-09-07 00:27:19.485,N3,16,N3016-FZET
2025-09-07 00:27:19.496,N3,17,N3017-3A94
2025-09-07 00:27:19.508,N3,18,N3018-E4FK
2025-09-07 00:27:19.519,N3,19,N3019-ACGN
2025-09-07 00:27:19.531,N3,20,N3020-OQN6
2025-09-07 00:27:19.542,N3,21,N3021-D5NQ
2025-09-07 00:27:19.553,N3,22,N3022-NG3W
2025-09-07 00:27:19.565,N3,23,N3023-8HKO
2025-09-07 00:27:19.577,N3,24,N3024-2SOZ
2025-09-07 00:27:19.588,N3,25,N3025-BPYI
2025-09-07 00:27:19.600,N3,26,N3026-9UN6
2025-09-07 00:27:19.611,N3,27,N3027-MSDT
2025-09-07 00:27:19.622,N3,28,N3028-Y0UT
2025-09-07 00:27:19.633,N3,29,N3029-1ILD
2025-09-07 00:27:19.645,N3,30,N3030-209U
2025-09-07 00:27:19.656,N3,31,N3031-ONX1
2025-09-07 00:27:19.667,N3,32,N3032-AV2M
2025-09-07 00:27:19.679,N3,33,N3033-C8SN
2025-09-07 00:27:19.690,N3,34,N3034-540E
2025-09-07 00:27:19.701,N3,35,N3035-QTHU
2025-09-07 00:27:19.712,N3,36,N3036-RAJX
2025-09-07 00:27:19.724,N3,37,N3037-O9NQ
2025-09-07 00:27:19.735,N3,38,N3038-MVPA
2025-09-07 00:27:19.746,N3,39,N3039-VTVG
2025-09-07 00:27:19.758,N3,40,N3040-MVI4
2025-09-07 00:27:19.769,N3,41,N3041-3K27
2025-09-07 00:27:19.780,N3,42,N3042-MVXI
2025-09-07 00:27:19.792,N3,43,N3043-3PUN
2025-09-07 00:27:19.803,N3,44,N3044-ON2K
2025-09-07 00:27:19.814,N3,45,N3045-ZPJ6
2025-09-07 00:27:19.825,N3,46,N3046-7IQZ
2025-09-07 00:27:19.837,N3,47,N3047-1S8N
2025-09-07 00:27:19.848,N3,48,N3048-DNQT
2025-09-07 00:27:19.859,N3,49,N3049-RCH6
2025-09-07 00:27:19.870,N3,50,N3050-XPYT
2025-09-07 00:27:19.882,N3,51,N3051-0EWU
2025-09-07 00:27:19.893,N3,52,N3052-HKN1
2025-09-07 00:27:19.904,N3,53,N3053-HN3Y
2025-09-07 00:27:19.915,N3,54,N3054-EZAQ
2025-09-07 00:27:19.927,N3,55,N3055-95OR
