1ms,mix_nodes_3n,100,10,41,88,5,57,0.503,0.500
2ms,mix_nodes_3n,95,7,50,60,25,63,0.507,0.493
3ms,mix_nodes_3n,81,15,57,97,5,47,0.510,0.497
4ms,mix_nodes_3n,96,30,48,91,37,36,0.580,0.547
5ms,mix_nodes_3n,100,40,58,87,35,64,0.660,0.620
10ms,mix_nodes_3n,98,54,92,100,76,75,0.813,0.837
15ms,mix_nodes_3n,97,71,69,99,61,78,0.790,0.793
20ms,mix_nodes_3n,100,83,82,100,84,88,0.883,0.907
25ms,mix_nodes_3n,100,54,88,100,86,89,0.807,0.917
30ms,mix_nodes_3n,100,84,88,99,89,92,0.907,0.933
35ms,mix_nodes_3n,100,85,97,100,90,97,0.940,0.957
40ms,mix_nodes_3n,100,89,87,100,88,98,0.920,0.953
50ms,mix_nodes_3n,100,89,99,100,94,94,0.960,0.960
60ms,mix_nodes_3n,100,87,99,100,94,94,0.953,0.960
80ms,mix_nodes_3n,100,88,100,100,96,96,0.960,0.973
100ms,mix_nodes_3n,100,86,99,100,98,99,0.950,0.990
120ms,mix_nodes_3n,100,90,100,100,98,97,0.967,0.983
160ms,mix_nodes_3n,100,91,97,100,99,97,0.960,0.987
200ms,mix_nodes_3n,100,90,99,100,99,96,0.963,0.983
250ms,mix_nodes_3n,100,91,99,100,100,98,0.967,0.993
300ms,mix_nodes_3n,100,95,98,100,100,97,0.977,0.990
400ms,mix_nodes_3n,100,94,100,100,99,97,0.980,0.987
500ms,mix_nodes_3n,100,95,96,100,100,98,0.970,0.993
600ms,mix_nodes_3n,100,97,97,100,95,98,0.980,0.977
800ms,mix_nodes_3n,100,98,98,100,99,98,0.987,0.990
1000ms,mix_nodes_3n,100,97,100,100,100,99,0.990,0.997
1500ms,mix_nodes_3n,100,98,98,100,99,99,0.987,0.993
