05-04-2025 21:40:42.607, 0, N4000-APPP
05-04-2025 21:40:42.613, 2, N4001-PYAA
05-04-2025 21:40:42.613, 3, N4002-3TM5
05-04-2025 21:40:42.613, 5, N4003-FVUY
05-04-2025 21:40:42.614, 14, N4004-3JII
05-04-2025 21:40:42.614, 15, N4005-Y2W8
05-04-2025 21:40:42.614, 16, N4006-7OV0
05-04-2025 21:40:42.614, 17, N4007-SX7I
05-04-2025 21:40:42.614, 19, N4008-JZRR
05-04-2025 21:40:42.614, 21, N4009-0XN4
05-04-2025 21:40:42.614, 27, N4011-ZLNK
05-04-2025 21:40:42.614, 28, N4012-0TPT
05-04-2025 21:40:42.614, 29, N4013-ZV9Y
05-04-2025 21:40:42.614, 30, N4014-RR9I
05-04-2025 21:40:42.851, 38, N4017-5LFM
05-04-2025 21:40:42.851, 40, N4018-OCAH
05-04-2025 21:40:42.851, 42, N4019-JQTP
05-04-2025 21:40:42.851, 43, N4020-JDTM
05-04-2025 21:40:42.851, 44, N4021-CKX9
05-04-2025 21:40:42.851, 45, N4022-3XVF
05-04-2025 21:40:42.851, 46, N4023-JHXP
05-04-2025 21:40:42.851, 47, N4024-XIML
05-04-2025 21:40:42.852, 49, N4025-IJO7
05-04-2025 21:40:42.852, 51, N4026-OUPH
05-04-2025 21:40:42.852, 57, N4027-T3YQ
05-04-2025 21:40:42.852, 59, N4028-N6LZ
05-04-2025 21:40:42.852, 65, N4030-4CSY
05-04-2025 21:40:42.852, 71, N4032-A488
05-04-2025 21:40:42.852, 74, N4033-BHKS
05-04-2025 21:40:42.908, 80, N4034-TVNA
05-04-2025 21:40:42.909, 84, N4035-8B9B
05-04-2025 21:40:42.909, 87, N4036-06V5
05-04-2025 21:40:42.909, 91, N4037-KQZV
05-04-2025 21:40:42.909, 93, N4038-LL9A
05-04-2025 21:40:42.909, 95, N4039-P2CX
05-04-2025 21:40:42.909, 97, N4040-1P8C
05-04-2025 21:40:43.033, 100, N4041-04G6
05-04-2025 21:40:43.033, 106, N4042-4E45
05-04-2025 21:40:43.033, 108, N4043-87R1
05-04-2025 21:40:43.033, 110, N4044-2QJV
05-04-2025 21:40:43.033, 112, N4045-9HQZ
05-04-2025 21:40:43.033, 117, N4047-T1YO
05-04-2025 21:40:43.033, 123, N4048-Q8QF
05-04-2025 21:40:43.132, 126, N4049-PFBU
05-04-2025 21:40:43.132, 128, N4050-P3D6
