05-09-2025 15:24:20.300,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

05-09-2025 15:23:33.516,0,RECV,7E000F81000036024E383030302D38535A41DD
05-09-2025 15:23:33.532,1,RECV,7E000F8100002D024E363030302D39484E47F8
05-09-2025 15:23:33.565,2,RECV,7E000F8100002A024E363030312D5A37423607
05-09-2025 15:23:33.566,3,RECV,7E007D338100003E000AFFFFFFFFFFFFFFFF0000005348A3
05-09-2025 15:23:33.566,4,RECV,7E000F8100002A024E363030322D504D585AC0
05-09-2025 15:23:33.586,5,RECV,7E007D3381000033000AFFFFFFFFFFFFFFFF0000005348AE
05-09-2025 15:23:33.587,6,RECV,7E000F8100002A024E363030332D5A454746E2
05-09-2025 15:23:33.587,7,RECV,7E000F81000037024E353030312D304A4150F9
05-09-2025 15:23:33.596,8,RECV,7E007D338100002A000DFFFFFFFFFFFFFFFF0000005348B4
05-09-2025 15:23:33.670,9,RECV,7E000F8100003E024E373030312D4536364FFB
05-09-2025 15:23:33.720,10,RECV,7E000F8100003E024E373030322D4B56314EDA
05-09-2025 15:23:33.771,11,RECV,7E000F81000029024E363030342D53564F44D2
05-09-2025 15:23:33.821,12,RECV,7E000F81000033024E383030312D41325A49EF
05-09-2025 15:23:33.826,13,RECV,7E000F81000033024E383030322D5236423109
05-09-2025 15:23:33.826,14,RECV,7E000F81000038024E353030322D5A54594EAD
05-09-2025 15:23:33.827,15,RECV,7E000F81000037024E353030332D5432304606
05-09-2025 15:23:33.921,16,RECV,7E000F81000035024E383030332D4D553658D1
05-09-2025 15:23:34.021,17,RECV,7E000F81000037024E353030342D5659444CC2
05-09-2025 15:23:34.021,18,RECV,7E000F81000033024E383030342D344531391F
05-09-2025 15:23:34.072,19,RECV,7E000F81000029024E363030352D4E443058F3
05-09-2025 15:23:34.072,20,RECV,7E000F81000029024E363030362D424A4C4BE9
05-09-2025 15:23:34.072,21,RECV,7E000F81000029024E363030372D3137393139
05-09-2025 15:23:34.082,22,RECV,7E000F8100003E024E373030332D44534236EA
05-09-2025 15:23:34.122,23,RECV,7E000F8100003C024E373030342D394F4F37EC
05-09-2025 15:23:34.172,24,RECV,7E000F81000033024E383030352D57494832E7
05-09-2025 15:23:34.272,25,RECV,7E000F81000033024E383030362D365A5651C9
05-09-2025 15:23:34.273,26,RECV,7E000F81000033024E383030372D41334F4BF1
05-09-2025 15:23:34.274,27,RECV,7E000F81000037024E353030352D4C3330341D
05-09-2025 15:23:34.322,28,RECV,7E000F81000029024E363030382D504A535AC3
05-09-2025 15:23:34.372,29,RECV,7E000F81000029024E363030392D573431301D
05-09-2025 15:23:34.472,30,RECV,7E000F81000029024E363031302D4C434E39FB
05-09-2025 15:23:34.523,31,RECV,7E000F8100002A024E363031312D4F31353129
05-09-2025 15:23:34.523,32,RECV,7E000F81000035024E383030382D3732454905
05-09-2025 15:23:34.523,33,RECV,7E000F81000035024E383030392D47503555DA
05-09-2025 15:23:34.573,34,RECV,7E000F81000040024E373030352D454B4D42D6
05-09-2025 15:23:34.623,35,RECV,7E000F8100002A024E363031322D5731464FF1
05-09-2025 15:23:34.632,36,RECV,7E000F8100003F024E373030362D504B3951D0
05-09-2025 15:23:34.673,37,RECV,7E000F8100002A024E363031332D59495232E7
05-09-2025 15:23:34.684,38,RECV,7E000F81000039024E353030362D4E485934DA
05-09-2025 15:23:34.684,39,RECV,7E000F81000034024E383031302D304F493408
05-09-2025 15:23:34.684,40,RECV,7E000F8100002A024E363031342D434A334507
05-09-2025 15:23:34.773,41,RECV,7E000F8100003F024E373030372D4A555855A8
05-09-2025 15:23:34.787,42,RECV,7E000F8100003F024E373030382D4D54474DBE
05-09-2025 15:23:34.787,43,RECV,7E000F8100003F024E373030392D4A44584EBE
05-09-2025 15:23:34.824,44,RECV,7E000F81000034024E383031312D4B4A5239E3
05-09-2025 15:23:34.824,45,RECV,7E000F8100002A024E363031352D514B3252EB
05-09-2025 15:23:34.874,46,RECV,7E000F81000039024E353030372D364D5130F8
05-09-2025 15:23:34.874,47,RECV,7E000F8100003F024E373031302D414C5356C4
05-09-2025 15:23:34.924,48,RECV,7E000F81000039024E353030382D4B374B32FC
05-09-2025 15:23:34.933,49,RECV,7E000F81000029024E363031362D4955304EEF
05-09-2025 15:23:34.933,50,RECV,7E000F81000035024E383031322D3650344CFB
05-09-2025 15:23:34.974,51,RECV,7E000F81000029024E363031372D313636323B
05-09-2025 15:23:34.994,52,RECV,7E000F81000035024E383031332D32415756E0
05-09-2025 15:23:34.996,53,RECV,7E000F81000039024E353030392D44523441EF
05-09-2025 15:23:35.074,54,RECV,7E000F8100002E024E363031382D4A354249FA
05-09-2025 15:23:35.124,55,RECV,7E000F81000039024E383031342D4F434958C8
05-09-2025 15:23:35.174,56,RECV,7E000F81000042024E373031322D34315147F8
05-09-2025 15:23:35.175,57,RECV,7E000F81000042024E373031332D3959364EDE
05-09-2025 15:23:35.225,58,RECV,7E000F8100003C024E353031302D37504151E6
05-09-2025 15:23:35.275,59,RECV,7E000F81000041024E373031342D52394D48D4
05-09-2025 15:23:35.275,60,RECV,7E000F8100002D024E363031392D4637594DE1
05-09-2025 15:23:35.375,61,RECV,7E000F81000038024E383031352D3947433107
05-09-2025 15:23:35.378,62,RECV,7E000F81000042024E373031352D44575146C0
05-09-2025 15:23:35.378,63,RECV,7E000F8100002D024E363032302D5935554EDB
05-09-2025 15:23:35.426,64,RECV,7E000F8100002D024E363032312D325A30420D
05-09-2025 15:23:35.436,65,RECV,7E000F8100003C024E353031312D37445234FD
05-09-2025 15:23:35.476,66,RECV,7E000F81000041024E373031362D4D554335D8
05-09-2025 15:23:35.478,67,RECV,7E000F81000042024E373031372D4C344F33EE
05-09-2025 15:23:35.479,68,RECV,7E000F81000041024E373031382D504D3742DA
05-09-2025 15:23:35.526,69,RECV,7E000F8100003C024E353031322D5738424EDE
05-09-2025 15:23:35.528,70,RECV,7E000F8100003C024E353031332D57544F31D1
05-09-2025 15:23:35.528,71,RECV,7E000F81000038024E383031362D5257564BB0
05-09-2025 15:23:35.528,72,RECV,7E000F8100003C024E353031342D3539494202
05-09-2025 15:23:35.576,73,RECV,7E000F81000041024E373031392D52533758BB
05-09-2025 15:23:35.576,74,RECV,7E000F8100002D024E363032322D4B424D48E8
05-09-2025 15:23:35.586,75,RECV,7E000F81000038024E383031372D435A4F4EBF
05-09-2025 15:23:35.586,76,RECV,7E000F8100002D024E363032332D53464152DD
05-09-2025 15:23:35.626,77,RECV,7E000F8100002D024E363032342D374B3754FB
05-09-2025 15:23:35.626,78,RECV,7E000F81000038024E383031382D47335330FB
05-09-2025 15:23:35.626,79,RECV,7E000F8100002D024E363032352D53524545D8
05-09-2025 15:23:35.677,80,RECV,7E000F8100002D024E363032362D4A34523105
05-09-2025 15:23:35.677,81,RECV,7E000F8100003A024E353031352D36584944E1
05-09-2025 15:23:35.726,82,RECV,7E000F81000041024E373032302D44443641F8
05-09-2025 15:23:35.727,83,RECV,7E000F81000041024E373032312D53573348D1
05-09-2025 15:23:35.777,84,RECV,7E000F8100003A024E353031362D30415746ED
05-09-2025 15:23:35.827,85,RECV,7E000F8100003B024E353031372D46413557E6
05-09-2025 15:23:35.861,86,RECV,7E000F8100003B024E353031382D5639374EE4
05-09-2025 15:23:35.877,87,RECV,7E000F81000036024E383031392D41375252DD
05-09-2025 15:23:35.877,88,RECV,7E000F81000037024E383032302D48483846F2
05-09-2025 15:23:35.927,89,RECV,7E000F81000037024E383032312D47303458FC
05-09-2025 15:23:35.927,90,RECV,7E000F8100003B024E353031392D42415A34E6
05-09-2025 15:23:35.977,91,RECV,7E000F8100003B024E353032302D3341493012
05-09-2025 15:23:36.013,92,RECV,7E000F81000036024E383032322D43503741F4
05-09-2025 15:23:36.027,93,RECV,7E000F8100003B024E353032312D49494550D7
05-09-2025 15:23:36.032,94,RECV,7E000F8100003B024E353032322D333157330F
05-09-2025 15:23:36.077,95,RECV,7E000F8100002B024E363032372D534A4B4CD3
05-09-2025 15:23:36.127,96,RECV,7E000F81000040024E373032342D5A595838B1
05-09-2025 15:23:36.178,97,RECV,7E000F81000037024E383032332D54434C4BCF
05-09-2025 15:23:36.178,98,RECV,7E000F81000037024E383032342D303156327D33
05-09-2025 15:23:36.228,99,RECV,7E000F8100003A024E353032332D4330564AEA
05-09-2025 15:23:36.278,100,RECV,7E000F8100002B024E363032382D544F5550BE
05-09-2025 15:23:36.378,101,RECV,7E000F81000040024E373032362D334C3144FE
05-09-2025 15:23:36.378,102,RECV,7E000F8100002B024E363032392D53475A45CC
05-09-2025 15:23:36.478,103,RECV,7E000F81000036024E383032352D50464539E8
05-09-2025 15:23:36.479,104,RECV,7E000F81000036024E383032362D47535A44C3
05-09-2025 15:23:36.479,105,RECV,7E000F8100003F024E373032372D36555950BE
05-09-2025 15:23:36.529,106,RECV,7E000F8100003A024E353032342D48325842E8
05-09-2025 15:23:36.529,107,RECV,7E000F8100003A024E353032352D58544552B8
05-09-2025 15:23:36.579,108,RECV,7E000F81000039024E353032362D38463848FD
05-09-2025 15:23:36.629,109,RECV,7E000F8100003F024E373032382D5037353104
05-09-2025 15:23:36.750,110,RECV,7E000F8100003F024E373032392D56383436F8
05-09-2025 15:23:36.829,111,RECV,7E000F81000036024E383032372D344C4551E4
05-09-2025 15:23:36.830,112,RECV,7E000F8100003F024E373033302D353131362B
05-09-2025 15:23:36.830,113,RECV,7E000F8100002A024E363033302D4334305116
05-09-2025 15:23:36.830,114,RECV,7E000F8100002A024E363033312D58555347C6
05-09-2025 15:23:36.930,115,RECV,7E000F81000039024E353032372D4A394B48E4
