06-13-2025 18:45:28.688,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-13-2025 18:45:03.911,0,RECV,7E000F81000718024E373030302D465732321A
06-13-2025 18:45:03.911,1,RECV,7E000F8100021D024E323030302D323842373D
06-13-2025 18:45:03.971,2,RECV,7E000F8100041B024E343030312D42515548ED
06-13-2025 18:45:03.991,3,RECV,7E000F8100061B024E363030312D44585353D7
06-13-2025 18:45:03.991,4,RECV,7E000F81000719024E373030312D58394F42F7
06-13-2025 18:45:03.992,5,RECV,7E000F8100031A024E333030312D55304E50FD
06-13-2025 18:45:04.061,6,RECV,7E000F8100041B024E343030322D56525839E3
06-13-2025 18:45:04.061,7,RECV,7E000F8100061B024E363030322D36324B5A0B
06-13-2025 18:45:04.062,8,RECV,7E000F81000717024E373030322D484F5255DC
06-13-2025 18:45:04.161,9,RECV,7E000F8100041B024E343030332D56533351EE
06-13-2025 18:45:04.161,10,RECV,7E000F8100061B024E363030332D4438534503
06-13-2025 18:45:04.161,11,RECV,7E000F81000717024E373030332D323857490F
06-13-2025 18:45:04.212,12,RECV,7E000F8100041B024E343030342D4F32395907
06-13-2025 18:45:04.212,13,RECV,7E000F8100061B024E363030342D4F554759D2
06-13-2025 18:45:04.312,14,RECV,7E000F8100041B024E343030352D5253564BD3
06-13-2025 18:45:04.319,15,RECV,7E000F8100061B024E363030352D434F423908
06-13-2025 18:45:04.362,16,RECV,7E000F8100041B024E343030362D3534344833
06-13-2025 18:45:04.362,17,RECV,7E000F8100061B024E363030362D4137443028
06-13-2025 18:45:04.372,18,RECV,7E000F81000718024E373030362D50584654D3
06-13-2025 18:45:04.462,19,RECV,7E000F8100041B024E343030372D4331324829
06-13-2025 18:45:04.478,20,RECV,7E000F8100061B024E363030372D494C5849DD
06-13-2025 18:45:04.479,21,RECV,7E000F81000719024E373030372D4635514403
06-13-2025 18:45:04.479,22,RECV,7E000F8100031A024E333030372D41415051F7
06-13-2025 18:45:04.563,23,RECV,7E000F8100041B024E343030382D55435855D1
06-13-2025 18:45:04.563,24,RECV,7E000F8100061B024E363030382D38445750EF
06-13-2025 18:45:04.563,25,RECV,7E000F81000719024E373030382D493630590A
06-13-2025 18:45:04.563,26,RECV,7E000F8100031A024E333030382D333254461A
06-13-2025 18:45:04.613,27,RECV,7E000F8100041B024E343030392D4732464B0B
06-13-2025 18:45:04.628,28,RECV,7E000F8100061B024E363030392D394F4750F2
06-13-2025 18:45:04.628,29,RECV,7E000F81000719024E373030392D5832334E06
06-13-2025 18:45:04.713,30,RECV,7E000F8100041B024E343031302D305842391A
06-13-2025 18:45:04.713,31,RECV,7E000F8100061B024E363031302D4F39453814
06-13-2025 18:45:04.714,32,RECV,7E000F81000719024E373031302D3835564D09
06-13-2025 18:45:04.714,33,RECV,7E000F81000126024E313031302D4534435408
06-13-2025 18:45:04.714,34,RECV,7E000F8100031A024E333031302D4F36524BFE
06-13-2025 18:45:04.763,35,RECV,7E000F8100041B024E343031312D4F51334504
06-13-2025 18:45:04.780,36,RECV,7E000F8100061B024E363031312D56364754F1
06-13-2025 18:45:04.780,37,RECV,7E000F81000719024E373031312D3953434CFD
06-13-2025 18:45:04.780,38,RECV,7E000F8100031C024E333031312D51514B50E0
06-13-2025 18:45:04.863,39,RECV,7E000F8100041B024E343031322D364B425008
06-13-2025 18:45:04.874,40,RECV,7E000F8100061B024E363031322D53504854D8
06-13-2025 18:45:04.876,41,RECV,7E000F81000719024E373031322D46375A43FD
06-13-2025 18:45:04.876,42,RECV,7E000F81000127024E313031322D424635490F
06-13-2025 18:45:04.876,43,RECV,7E000F8100021D024E323031322D594E4442F0
06-13-2025 18:45:04.876,44,RECV,7E000F8100031C024E333031322D4B4C384EFF
06-13-2025 18:45:04.913,45,RECV,7E000F8100041B024E343031332D574D5A34E8
06-13-2025 18:45:04.963,46,RECV,7E000F8100061B024E363031332D4E464A4FE9
06-13-2025 18:45:04.964,47,RECV,7E000F81000719024E373031332D54504457D7
06-13-2025 18:45:04.964,48,RECV,7E000F81000126024E313031332D4C35494803
06-13-2025 18:45:04.964,49,RECV,7E000F8100021D024E323031332D54574C45E0
06-13-2025 18:45:04.964,50,RECV,7E000F8100031C024E333031332D343849372F
06-13-2025 18:45:05.014,51,RECV,7E000F8100041B024E343031342D3155393228
06-13-2025 18:45:05.014,52,RECV,7E000F8100061B024E363031342D51425351DE
06-13-2025 18:45:05.014,53,RECV,7E000F81000719024E373031342D53594C57C6
06-13-2025 18:45:05.025,54,RECV,7E000F81000126024E313031342D3154324E0F
06-13-2025 18:45:05.026,55,RECV,7E000F8100021D024E323031342D36555250EE
06-13-2025 18:45:05.026,56,RECV,7E000F8100031C024E333031342D5A3932470E
06-13-2025 18:45:05.114,57,RECV,7E000F8100041B024E343031352D4D38365409
06-13-2025 18:45:05.114,58,RECV,7E000F8100061B024E363031352D514F5350D1
06-13-2025 18:45:05.114,59,RECV,7E000F81000719024E373031352D56583535FC
06-13-2025 18:45:05.114,60,RECV,7E000F81000127024E313031352D57384C57E0
06-13-2025 18:45:05.114,61,RECV,7E000F8100021E024E323031352D4D4E5442E8
06-13-2025 18:45:05.114,62,RECV,7E000F8100031C024E333031352D38505847F2
06-13-2025 18:45:05.174,63,RECV,7E000F8100041B024E343031362D4153424100
06-13-2025 18:45:05.177,64,RECV,7E000F8100061B024E363031362D43435856DF
06-13-2025 18:45:05.185,65,RECV,7E000F81000719024E373031362D3341314727
06-13-2025 18:45:05.185,66,RECV,7E000F81000126024E313031362D303631512A
06-13-2025 18:45:05.185,67,RECV,7E000F8100021E024E323031362D594733327D33
06-13-2025 18:45:05.186,68,RECV,7E000F8100031C024E333031362D494D4A56E2
06-13-2025 18:45:05.264,69,RECV,7E000F8100041B024E343031372D4A3047391C
06-13-2025 18:45:05.264,70,RECV,7E000F8100061B024E363031372D55495735E8
06-13-2025 18:45:05.275,71,RECV,7E000F81000719024E373031372D5A574152CE
06-13-2025 18:45:05.275,72,RECV,7E000F81000126024E313031372D5A30353022
06-13-2025 18:45:05.275,73,RECV,7E000F8100021D024E323031372D49464B41FD
06-13-2025 18:45:05.275,74,RECV,7E000F8100031C024E333031372D4251574CE1
06-13-2025 18:45:05.365,75,RECV,7E000F8100041B024E343031382D334E4A4802
06-13-2025 18:45:05.390,76,RECV,7E000F8100061B024E363031382D5A5A4745D1
06-13-2025 18:45:05.390,77,RECV,7E000F81000719024E373031382D34304B560C
06-13-2025 18:45:05.390,78,RECV,7E000F81000126024E313031382D443155337D33
06-13-2025 18:45:05.390,79,RECV,7E000F8100021D024E323031382D41485938FD
06-13-2025 18:45:05.390,80,RECV,7E000F8100031C024E333031382D5850384CEA
06-13-2025 18:45:05.415,81,RECV,7E000F8100041B024E343031392D50474A37FC
06-13-2025 18:45:05.435,82,RECV,7E000F8100061B024E363031392D53435943DE
06-13-2025 18:45:05.438,83,RECV,7E000F81000719024E373031392D59594747D0
06-13-2025 18:45:05.438,84,RECV,7E000F8100021D024E323031392D57584731EF
06-13-2025 18:45:05.438,85,RECV,7E000F8100031C024E333031392D543034530A
06-13-2025 18:45:05.515,86,RECV,7E000F8100041B024E343032302D48444E3210
06-13-2025 18:45:05.554,87,RECV,7E000F8100061B024E363032302D4B3458307D31
06-13-2025 18:45:05.555,88,RECV,7E000F81000719024E373032302D54465759CE
06-13-2025 18:45:05.555,89,RECV,7E000F81000127024E313032302D4A484F55E0
06-13-2025 18:45:05.555,90,RECV,7E000F8100021E024E323032302D59375346F4
06-13-2025 18:45:05.555,91,RECV,7E000F8100031C024E333032302D393036304E
06-13-2025 18:45:05.565,92,RECV,7E000F8100041B024E343032312D38354E5808
06-13-2025 18:45:05.615,93,RECV,7E000F8100061B024E363032312D4348414902
06-13-2025 18:45:05.616,94,RECV,7E000F81000719024E373032312D344D304422
06-13-2025 18:45:05.616,95,RECV,7E000F81000127024E313032312D345330500E
06-13-2025 18:45:05.616,96,RECV,7E000F8100021D024E323032312D4E31594500
06-13-2025 18:45:05.616,97,RECV,7E000F8100031C024E333032312D4B4D4C4FE9
06-13-2025 18:45:05.666,98,RECV,7E000F8100041B024E343032322D3545445A02
06-13-2025 18:45:05.706,99,RECV,7E000F8100061B024E363032322D413734303A
