06-26-2025 21:15:12.213,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-26-2025 21:14:15.694,0,RECV,7E000F81000430024E343030302D45523451ED
06-26-2025 21:14:15.694,1,RECV,7E000F8100022C024E323030302D4D55524CD1
06-26-2025 21:14:15.695,2,RECV,7E000F8100031C024E333030302D58455937F2
06-26-2025 21:14:15.695,3,RECV,7E000F81000120024E313030302D35484B4116
06-26-2025 21:14:15.995,4,RECV,7E000F8100042D024E343030312D514535320E
06-26-2025 21:14:15.995,5,RECV,7E000F8100022C024E323030312D55504354D4
06-26-2025 21:14:15.995,6,RECV,7E000F8100031C024E333030312D4B37325119
06-26-2025 21:14:15.995,7,RECV,7E000F81000120024E313030312D4E50373217
06-26-2025 21:14:16.295,8,RECV,7E000F8100042D024E343030322D514C3939FB
06-26-2025 21:14:16.296,9,RECV,7E000F8100022B024E323030322D3638465705
06-26-2025 21:14:16.296,10,RECV,7E000F8100031C024E333030322D3649564EFA
06-26-2025 21:14:16.296,11,RECV,7E000F81000120024E313030322D4C425652E7
06-26-2025 21:14:16.596,12,RECV,7E000F81000430024E343030332D56393456ED
06-26-2025 21:14:16.596,13,RECV,7E000F8100022C024E323030332D57535A57B3
06-26-2025 21:14:16.596,14,RECV,7E000F8100031C024E333030332D4B444D3907
06-26-2025 21:14:16.596,15,RECV,7E000F81000120024E313030332D4C465143F6
06-26-2025 21:14:16.896,16,RECV,7E000F81000430024E343030342D48374B4BF0
06-26-2025 21:14:16.897,17,RECV,7E000F8100022B024E323030342D5336474EF0
06-26-2025 21:14:16.898,18,RECV,7E000F8100031C024E333030342D4C4A5A4EDD
06-26-2025 21:14:16.898,19,RECV,7E000F81000120024E313030342D354C5A49F7
06-26-2025 21:14:17.197,20,RECV,7E000F8100042D024E343030352D4E31315106
06-26-2025 21:14:17.197,21,RECV,7E000F8100022C024E323030352D414A5637F4
06-26-2025 21:14:17.197,22,RECV,7E000F8100031C024E333030352D594E4350E0
06-26-2025 21:14:17.247,23,RECV,7E000F81000120024E313030352D495A4B49E3
06-26-2025 21:14:17.497,24,RECV,7E000F81000430024E343030362D564C4B39DD
06-26-2025 21:14:17.498,25,RECV,7E000F8100022C024E323030362D364233312F
06-26-2025 21:14:17.498,26,RECV,7E000F8100031C024E333030362D3136305032
06-26-2025 21:14:17.508,27,RECV,7E000F81000120024E313030362D4656463106
06-26-2025 21:14:17.799,28,RECV,7E000F81000430024E343030372D394C3749FD
06-26-2025 21:14:17.799,29,RECV,7E000F8100022B024E323030372D4530394A7D33
06-26-2025 21:14:17.799,30,RECV,7E000F8100031C024E333030372D56574E47D6
06-26-2025 21:14:17.809,31,RECV,7E000F81000120024E313030372D465A5A34EA
06-26-2025 21:14:18.099,32,RECV,7E000F8100042D024E343030382D48533745ED
06-26-2025 21:14:18.101,33,RECV,7E000F8100022C024E323030382D393648460C
06-26-2025 21:14:18.101,34,RECV,7E000F8100031C024E333030382D51544552DB
06-26-2025 21:14:18.101,35,RECV,7E000F81000120024E313030382D46514346F7
06-26-2025 21:14:18.400,36,RECV,7E000F8100042D024E343030392D4B4D4A4AD7
06-26-2025 21:14:18.400,37,RECV,7E000F8100022B024E323030392D57424D32F1
