timestamp_sink,timestamp_node,payload,delay_ms
2026-03-04 00:52:57.980,2026-03-04 00:52:51.495,N5003-6H6H,6485.000
2026-03-04 00:52:58.002,2026-03-04 00:52:51.517,N5004-C9AJ,6485.000
2026-03-04 00:52:58.020,2026-03-04 00:52:51.538,N5005-92F6,6482.000
2026-03-04 00:52:58.031,2026-03-04 00:52:51.560,N5006-5H70,6471.000
2026-03-04 00:52:58.050,2026-03-04 00:52:51.581,N5007-E5EJ,6469.000
2026-03-04 00:52:58.100,2026-03-04 00:52:51.603,N5008-8H9A,6497.000
2026-03-04 00:52:58.101,2026-03-04 00:52:51.624,N5009-3G7C,6477.000
2026-03-04 00:52:58.159,2026-03-04 00:52:51.645,N5010-835H,6514.000
2026-03-04 00:52:58.159,2026-03-04 00:52:51.667,N5011-584C,6492.000
2026-03-04 00:52:58.161,2026-03-04 00:52:51.688,N5012-IACA,6473.000
2026-03-04 00:52:58.200,2026-03-04 00:52:51.709,N5013-3866,6491.000
2026-03-04 00:52:58.211,2026-03-04 00:52:51.731,N5014-HBE2,6480.000
2026-03-04 00:52:58.250,2026-03-04 00:52:51.752,N5015-G94F,6498.000
2026-03-04 00:52:58.251,2026-03-04 00:52:51.773,N5016-F1H4,6478.000
2026-03-04 00:52:58.322,2026-03-04 00:52:51.795,N5017-H5B0,6527.000
2026-03-04 00:52:58.322,2026-03-04 00:52:51.816,N5018-B4JB,6506.000
2026-03-04 00:52:58.322,2026-03-04 00:52:51.838,N5019-II24,6484.000
2026-03-04 00:52:58.350,2026-03-04 00:52:51.859,N5020-4FHH,6491.000
2026-03-04 00:52:58.351,2026-03-04 00:52:51.881,N5021-J1AE,6470.000
2026-03-04 00:52:58.401,2026-03-04 00:52:51.902,N5022-IE96,6499.000
2026-03-04 00:52:58.401,2026-03-04 00:52:51.924,N5023-0467,6477.000
2026-03-04 00:52:58.425,2026-03-04 00:52:51.945,N5024-E20I,6480.000
2026-03-04 00:52:58.462,2026-03-04 00:52:51.967,N5025-HDCE,6495.000
2026-03-04 00:52:58.501,2026-03-04 00:52:51.988,N5026-DJEA,6513.000
2026-03-04 00:52:58.501,2026-03-04 00:52:52.010,N5027-68GB,6491.000
2026-03-04 00:52:58.501,2026-03-04 00:52:52.031,N5028-61GI,6470.000
2026-03-04 00:52:58.551,2026-03-04 00:52:52.053,N5029-JI69,6498.000
2026-03-04 00:52:58.551,2026-03-04 00:52:52.074,N5030-75C6,6477.000
2026-03-04 00:52:58.613,2026-03-04 00:52:52.095,N5031-F251,6518.000
2026-03-04 00:52:58.613,2026-03-04 00:52:52.117,N5032-GA0C,6496.000
2026-03-04 00:52:58.651,2026-03-04 00:52:52.138,N5033-CE33,6513.000
2026-03-04 00:52:58.651,2026-03-04 00:52:52.160,N5034-J2A5,6491.000
2026-03-04 00:52:58.701,2026-03-04 00:52:52.181,N5035-G92D,6520.000
2026-03-04 00:52:58.702,2026-03-04 00:52:52.203,N5036-FJ87,6499.000
2026-03-04 00:52:58.702,2026-03-04 00:52:52.224,N5037-J56D,6478.000
2026-03-04 00:52:58.752,2026-03-04 00:52:52.246,N5038-BFG1,6506.000
2026-03-04 00:52:58.766,2026-03-04 00:52:52.267,N5039-083G,6499.000
2026-03-04 00:52:58.772,2026-03-04 00:52:52.289,N5040-53JC,6483.000
2026-03-04 00:52:58.801,2026-03-04 00:52:52.310,N5041-6258,6491.000
2026-03-04 00:52:58.801,2026-03-04 00:52:52.331,N5042-4GIJ,6470.000
2026-03-04 00:52:58.851,2026-03-04 00:52:52.353,N5043-G104,6498.000
2026-03-04 00:52:58.852,2026-03-04 00:52:52.374,N5044-443D,6478.000
2026-03-04 00:52:58.918,2026-03-04 00:52:52.396,N5045-3J16,6522.000
2026-03-04 00:52:58.918,2026-03-04 00:52:52.417,N5046-D8IH,6501.000
2026-03-04 00:52:58.952,2026-03-04 00:52:52.439,N5047-I9HF,6513.000
2026-03-04 00:52:58.952,2026-03-04 00:52:52.460,N5048-08H4,6492.000
2026-03-04 00:52:58.963,2026-03-04 00:52:52.481,N5049-H077,6482.000
2026-03-04 00:52:59.002,2026-03-04 00:52:52.503,N5050-A8J9,6499.000
2026-03-04 00:52:59.003,2026-03-04 00:52:52.524,N5051-65ED,6479.000
2026-03-04 00:52:59.024,2026-03-04 00:52:52.545,N5052-4F6G,6479.000
2026-03-04 00:52:59.052,2026-03-04 00:52:52.567,N5053-5CIC,6485.000
2026-03-04 00:52:59.053,2026-03-04 00:52:52.588,N5054-I979,6465.000
2026-03-04 00:52:59.094,2026-03-04 00:52:52.610,N5055-JDI8,6484.000
2026-03-04 00:52:59.102,2026-03-04 00:52:52.631,N5056-5IDC,6471.000
2026-03-04 00:52:59.153,2026-03-04 00:52:52.653,N5057-738C,6500.000
2026-03-04 00:52:59.153,2026-03-04 00:52:52.674,N5058-8C9H,6479.000
2026-03-04 00:52:59.203,2026-03-04 00:52:52.695,N5059-JEGA,6508.000
2026-03-04 00:52:59.203,2026-03-04 00:52:52.717,N5060-B340,6486.000
2026-03-04 00:52:59.214,2026-03-04 00:52:52.738,N5061-C5C6,6476.000
2026-03-04 00:52:59.253,2026-03-04 00:52:52.760,N5062-4EDB,6493.000
2026-03-04 00:52:59.253,2026-03-04 00:52:52.781,N5063-J24J,6472.000
2026-03-04 00:52:59.303,2026-03-04 00:52:52.802,N5064-663C,6501.000
2026-03-04 00:52:59.304,2026-03-04 00:52:52.824,N5065-626C,6480.000
2026-03-04 00:52:59.353,2026-03-04 00:52:52.845,N5066-B331,6508.000
2026-03-04 00:52:59.354,2026-03-04 00:52:52.866,N5067-E1FI,6488.000
2026-03-04 00:52:59.374,2026-03-04 00:52:52.888,N5068-9409,6486.000
2026-03-04 00:52:59.403,2026-03-04 00:52:52.909,N5069-92H0,6494.000
2026-03-04 00:52:59.404,2026-03-04 00:52:52.931,N5070-5624,6473.000
2026-03-04 00:52:59.453,2026-03-04 00:52:52.952,N5071-296G,6501.000
2026-03-04 00:52:59.453,2026-03-04 00:52:52.974,N5072-GCCG,6479.000
2026-03-04 00:52:59.503,2026-03-04 00:52:52.995,N5073-DC1J,6508.000
2026-03-04 00:52:59.504,2026-03-04 00:52:53.016,N5074-1AFB,6488.000
2026-03-04 00:52:59.504,2026-03-04 00:52:53.038,N5075-J152,6466.000
2026-03-04 00:52:59.553,2026-03-04 00:52:53.059,N5076-DF41,6494.000
2026-03-04 00:52:59.554,2026-03-04 00:52:53.080,N5077-E5DJ,6474.000
2026-03-04 00:52:59.564,2026-03-04 00:52:53.102,N5078-2EA6,6462.000
2026-03-04 00:52:59.604,2026-03-04 00:52:53.123,N5079-899A,6481.000
2026-03-04 00:52:59.615,2026-03-04 00:52:53.145,N5080-JHEF,6470.000
2026-03-04 00:52:59.642,2026-03-04 00:52:53.166,N5081-7JEC,6476.000
2026-03-04 00:52:59.703,2026-03-04 00:52:53.187,N5082-5I72,6516.000
2026-03-04 00:52:59.704,2026-03-04 00:52:53.209,N5083-EF4A,6495.000
2026-03-04 00:52:59.704,2026-03-04 00:52:53.230,N5084-4IA8,6474.000
