5ms,2NB14NB2,0,282,0,299,181,126,123,131,0.654,0.614
10ms,2NB14NB2,0,297,0,300,247,237,201,209,0.868,0.789
15ms,2NB14NB2,0,299,0,299,267,259,247,244,0.917,0.878
20ms,2NB14NB2,0,300,0,300,293,239,247,253,0.924,0.889
25ms,2NB14NB2,0,300,0,300,256,276,260,265,0.924,0.917
30ms,2NB14NB2,0,300,0,299,289,252,266,268,0.934,0.926
35ms,2NB14NB2,0,298,0,300,297,273,267,266,0.964,0.926
40ms,2NB14NB2,0,300,0,300,279,260,267,272,0.932,0.932
50ms,2NB14NB2,0,299,0,300,285,287,281,268,0.968,0.943
60ms,2NB14NB2,0,298,0,300,266,265,283,292,0.921,0.972
80ms,2NB14NB2,0,300,0,300,280,264,279,275,0.938,0.949
100ms,2NB14NB2,0,300,0,300,300,266,289,289,0.962,0.976
150ms,2NB14NB2,0,300,0,300,287,266,290,286,0.948,0.973
200ms,2NB14NB2,0,297,0,300,285,291,291,276,0.970,0.963
250ms,2NB14NB2,0,297,0,300,285,291,291,276,0.970,0.963
300ms,2NB14NB2,0,297,0,300,285,291,291,276,0.970,0.963
350ms,2NB14NB2,0,300,0,300,289,256,287,278,0.939,0.961
400ms,2NB14NB2,0,300,0,300,289,256,287,278,0.939,0.961
450ms,2NB14NB2,0,295,0,300,292,283,292,285,0.967,0.974
500ms,2NB14NB2,0,295,0,300,292,283,292,285,0.967,0.974
