06-27-2025 04:41:31.054,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-27-2025 04:40:41.420,0,RECV,7E000F8100042B024E343030302D4333494807
06-27-2025 04:40:41.469,1,RECV,7E000F8100062E024E363030302D4E445743DB
06-27-2025 04:40:41.471,2,RECV,7E000F81000731024E373030302D42434738FE
06-27-2025 04:40:41.471,3,RECV,7E000F8100082F024E383030302D384C44300A
06-27-2025 04:40:41.671,4,RECV,7E000F8100042B024E343030312D4E525856BF
06-27-2025 04:40:41.671,5,RECV,7E000F81000630024E363030312D44573849E8
06-27-2025 04:40:41.671,6,RECV,7E000F81000731024E373030312D4B4F5038DF
06-27-2025 04:40:41.671,7,RECV,7E000F81000830024E383030312D3343414EFB
06-27-2025 04:40:41.921,8,RECV,7E000F8100042B024E343030322D54554F52C2
06-27-2025 04:40:41.929,9,RECV,7E000F8100062F024E363030322D30534955E3
06-27-2025 04:40:41.929,10,RECV,7E000F81000731024E373030322D443941360C
06-27-2025 04:40:41.930,11,RECV,7E000F81000830024E383030322D46305146F2
06-27-2025 04:40:42.172,12,RECV,7E000F8100042B024E343030332D57534536E6
06-27-2025 04:40:42.173,13,RECV,7E000F8100062F024E363030332D4934384707
06-27-2025 04:40:42.173,14,RECV,7E000F81000732024E373030332D30435352E6
06-27-2025 04:40:42.173,15,RECV,7E000F81000831024E383030332D42445335EF
06-27-2025 04:40:42.423,16,RECV,7E000F8100042B024E343030342D41495648E2
06-27-2025 04:40:42.426,17,RECV,7E000F81000631024E363030342D3057443203
06-27-2025 04:40:42.426,18,RECV,7E000F81000731024E373030342D34594B48DE
06-27-2025 04:40:42.426,19,RECV,7E000F81000830024E383030342D43524A59C5
06-27-2025 04:40:42.673,20,RECV,7E000F8100042B024E343030352D304934500C
06-27-2025 04:40:42.673,21,RECV,7E000F81000630024E363030352D37505549DB
06-27-2025 04:40:42.673,22,RECV,7E000F81000731024E373030352D4A4E564EC1
06-27-2025 04:40:42.673,23,RECV,7E000F81000830024E383030352D57374B48DB
06-27-2025 04:40:42.924,24,RECV,7E000F8100042B024E343030362D30385051FF
06-27-2025 04:40:42.924,25,RECV,7E000F81000631024E363030362D4256474FD0
06-27-2025 04:40:43.175,26,RECV,7E000F8100042B024E343030372D57514648D1
06-27-2025 04:40:43.175,27,RECV,7E000F81000631024E363030372D324E433703
06-27-2025 04:40:43.175,28,RECV,7E000F81000830024E383030372D5A4C564FAF
06-27-2025 04:40:43.425,29,RECV,7E000F8100042B024E343030382D4334313826
06-27-2025 04:40:43.426,30,RECV,7E000F81000630024E363030382D5633544DD3
06-27-2025 04:40:43.426,31,RECV,7E000F81000831024E383030382D59485459AA
06-27-2025 04:40:43.426,32,RECV,7E000F81000732024E373030382D38584D53C9
06-27-2025 04:40:43.676,33,RECV,7E000F8100042B024E343030392D444B36340C
06-27-2025 04:40:43.676,34,RECV,7E000F81000631024E363030392D5A52574AAE
06-27-2025 04:40:43.676,35,RECV,7E000F81000831024E383030392D56384159CF
06-27-2025 04:40:43.677,36,RECV,7E000F81000732024E373030392D31324A3714
06-27-2025 04:40:43.927,37,RECV,7E000F8100042B024E343031302D36534747F6
06-27-2025 04:40:43.931,38,RECV,7E000F81000631024E363031302D48503058E3
06-27-2025 04:40:43.931,39,RECV,7E000F81000830024E383031302D35504D49E5
06-27-2025 04:40:43.931,40,RECV,7E000F81000733024E373031302D49463747F2
06-27-2025 04:40:44.177,41,RECV,7E000F8100042B024E343031312D484C5359CC
06-27-2025 04:40:44.177,42,RECV,7E000F81000733024E373031312D5A4D5252B3
06-27-2025 04:40:44.428,43,RECV,7E000F8100042B024E343031322D355732301D
06-27-2025 04:40:44.428,44,RECV,7E000F81000733024E373031322D3432475000
06-27-2025 04:40:44.679,45,RECV,7E000F8100042B024E343031332D4238374F0A
06-27-2025 04:40:44.682,46,RECV,7E000F81000832024E383031332D554D3850D1
06-27-2025 04:40:44.682,47,RECV,7E000F81000632024E363031332D43434D55D7
06-27-2025 04:40:44.682,48,RECV,7E000F81000733024E373031332D424B3154EA
06-27-2025 04:40:44.929,49,RECV,7E000F8100042B024E343031342D3937434B0B
06-27-2025 04:40:44.929,50,RECV,7E000F81000832024E383031342D544E5254B2
06-27-2025 04:40:44.930,51,RECV,7E000F81000632024E363031342D4E59394AD4
06-27-2025 04:40:44.930,52,RECV,7E000F81000733024E373031342D4C4A3830FD
06-27-2025 04:40:45.180,53,RECV,7E000F8100042B024E343031352D55513953D6
06-27-2025 04:40:45.180,54,RECV,7E000F81000835024E383031352D5145474BCE
06-27-2025 04:40:45.181,55,RECV,7E000F81000632024E363031352D43494853D6
06-27-2025 04:40:45.191,56,RECV,7E000F81000734024E373031352D50355856C6
06-27-2025 04:40:45.431,57,RECV,7E000F8100042B024E343031362D314F424302
06-27-2025 04:40:45.431,58,RECV,7E000F81000633024E363031362D56353258E6
06-27-2025 04:40:45.681,59,RECV,7E000F8100042B024E343031372D35314A59FD
06-27-2025 04:40:45.681,60,RECV,7E000F81000833024E383031372D4243384CED
06-27-2025 04:40:45.681,61,RECV,7E000F81000634024E363031372D59535343B7
06-27-2025 04:40:45.702,62,RECV,7E000F81000734024E373031372D33494939F9
06-27-2025 04:40:45.932,63,RECV,7E000F8100042B024E343031382D373239441F
06-27-2025 04:40:45.936,64,RECV,7E000F81000832024E383031382D53464459C0
06-27-2025 04:40:45.937,65,RECV,7E000F81000632024E363031382D52344C52D6
06-27-2025 04:40:45.982,66,RECV,7E000F81000736024E373031382D544B4252C1
06-27-2025 04:40:46.183,67,RECV,7E000F8100042B024E343031392D3647345003
06-27-2025 04:40:46.183,68,RECV,7E000F81000834024E383031392D394F3343F5
06-27-2025 04:40:46.183,69,RECV,7E000F81000634024E363031392D55424134EB
06-27-2025 04:40:46.232,70,RECV,7E000F81000736024E373031392D58385153BF
06-27-2025 04:40:46.434,71,RECV,7E000F8100042B024E343032302D544F5950C0
06-27-2025 04:40:46.439,72,RECV,7E000F81000833024E383032302D55554D57AE
06-27-2025 04:40:46.439,73,RECV,7E000F81000633024E363032302D394144317D31
06-27-2025 04:40:46.483,74,RECV,7E000F81000735024E373032302D344B5837EE
06-27-2025 04:40:46.684,75,RECV,7E000F8100042B024E343032312D45504447EB
06-27-2025 04:40:46.687,76,RECV,7E000F81000834024E383032312D385A4238EE
06-27-2025 04:40:46.695,77,RECV,7E000F81000634024E363032312D53385147DB
06-27-2025 04:40:46.705,78,RECV,7E000F81000736024E373032312D464C4442E2
06-27-2025 04:40:46.935,79,RECV,7E000F8100042B024E343032322D323850351B
06-27-2025 04:40:46.938,80,RECV,7E000F81000834024E383032322D54344751D9
06-27-2025 04:40:46.938,81,RECV,7E000F81000634024E363032322D47494450D9
06-27-2025 04:40:46.985,82,RECV,7E000F81000735024E373032322D4C4C4849D1
06-27-2025 04:40:47.186,83,RECV,7E000F8100042B024E343032332D3043324321
06-27-2025 04:40:47.186,84,RECV,7E000F81000833024E383032332D37344A317D33
06-27-2025 04:40:47.187,85,RECV,7E000F81000633024E363032332D4E5A384BD2
06-27-2025 04:40:47.236,86,RECV,7E000F81000730024E373032332D504C3559D4
06-27-2025 04:40:47.436,87,RECV,7E000F8100042B024E343032342D43504C54D5
06-27-2025 04:40:47.439,88,RECV,7E000F8100082F024E383032342D50453841EE
06-27-2025 04:40:47.439,89,RECV,7E000F81000630024E363032342D42534D53CA
06-27-2025 04:40:47.486,90,RECV,7E000F81000730024E373032342D5052374BD9
06-27-2025 04:40:47.687,91,RECV,7E000F8100042B024E343032352D524C5648CB
06-27-2025 04:40:47.687,92,RECV,7E000F8100082F024E383032352D3342313520
06-27-2025 04:40:47.687,93,RECV,7E000F8100062F024E363032352D4B314B59DF
06-27-2025 04:40:47.737,94,RECV,7E000F81000730024E373032352D47355347E6
06-27-2025 04:40:47.937,95,RECV,7E000F8100042B024E343032362D39534245F3
06-27-2025 04:40:47.938,96,RECV,7E000F8100082F024E383032362D56413243EE
06-27-2025 04:40:47.938,97,RECV,7E000F8100062F024E363032362D53485046CD
06-27-2025 04:40:47.988,98,RECV,7E000F81000732024E373032362D524D3230F8
06-27-2025 04:40:48.188,99,RECV,7E000F8100042B024E343032372D58324B57D9
06-27-2025 04:40:48.189,100,RECV,7E000F81000830024E383032372D33585A55BE
06-27-2025 04:40:48.189,101,RECV,7E000F81000630024E363032372D4F4D494DCA
06-27-2025 04:40:48.238,102,RECV,7E000F81000731024E373032372D4F4F585AA9
06-27-2025 04:40:48.439,103,RECV,7E000F8100042B024E343032382D45465248DF
06-27-2025 04:40:48.439,104,RECV,7E000F81000830024E383032382D34334C350F
06-27-2025 04:40:48.450,105,RECV,7E000F8100062F024E363032382D46534A58C1
06-27-2025 04:40:48.460,106,RECV,7E000F81000731024E373032382D43533151E0
06-27-2025 04:40:48.690,107,RECV,7E000F8100042B024E343032392D3236374123
