06-10-2025 23:13:13.412,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-10-2025 23:12:52.462,0,RECV,7E000F81000835024E383030302D44574F30E2
06-10-2025 23:12:52.463,1,RECV,7E000F81000630024E363030302D5432424CF1
06-10-2025 23:12:52.465,2,RECV,7E000F8100073C024E373030302D3635454106
06-10-2025 23:12:52.465,3,RECV,7E000F81000536024E353030302D4536434201
06-10-2025 23:12:52.562,4,RECV,7E000F81000834024E383030312D394B504EDA
06-10-2025 23:12:52.563,5,RECV,7E000F81000630024E363030312D4535304F0B
06-10-2025 23:12:52.563,6,RECV,7E000F81000536024E353030312D41485852CD
06-10-2025 23:12:52.613,7,RECV,7E000F81000834024E383030322D344F4444F0
06-10-2025 23:12:52.613,8,RECV,7E000F81000630024E363030322D52584635DE
06-10-2025 23:12:52.613,9,RECV,7E000F81000536024E353030322D51544151C8
06-10-2025 23:12:52.713,10,RECV,7E000F81000835024E383030332D3930543408
06-10-2025 23:12:52.713,11,RECV,7E000F81000630024E363030332D5430384BFB
06-10-2025 23:12:52.713,12,RECV,7E000F81000536024E353030332D45594954C3
06-10-2025 23:12:52.813,13,RECV,7E000F81000834024E383030342D4B4A5854B8
06-10-2025 23:12:52.813,14,RECV,7E000F8100062F024E363030342D56524739DA
06-10-2025 23:12:52.813,15,RECV,7E000F81000536024E353030342D394530440B
06-10-2025 23:12:52.913,16,RECV,7E000F81000834024E383030352D4B484E39DE
06-10-2025 23:12:52.914,17,RECV,7E000F8100073B024E373030352D48544836D9
06-10-2025 23:12:52.914,18,RECV,7E000F8100062F024E363030352D43474E47E2
06-10-2025 23:12:52.914,19,RECV,7E000F81000536024E353030352D58514B4CBC
06-10-2025 23:12:52.964,20,RECV,7E000F81000834024E383030362D535A424EBA
06-10-2025 23:12:52.981,21,RECV,7E000F8100073B024E373030362D36314D41FD
06-10-2025 23:12:52.984,22,RECV,7E000F8100062F024E363030362D394B4B4AE7
06-10-2025 23:12:52.986,23,RECV,7E000F81000536024E353030362D5A4F474AC1
06-10-2025 23:12:53.114,24,RECV,7E000F81000834024E383030372D3139533702
06-10-2025 23:12:53.129,25,RECV,7E000F8100073B024E373030372D55554C34C7
06-10-2025 23:12:53.129,26,RECV,7E000F8100062F024E363030372D54395946D3
06-10-2025 23:12:53.130,27,RECV,7E000F81000536024E353030372D514B3546E3
06-10-2025 23:12:53.164,28,RECV,7E000F81000834024E383030382D4731473006
06-10-2025 23:12:53.164,29,RECV,7E000F8100073B024E373030382D4C413254DD
06-10-2025 23:12:53.165,30,RECV,7E000F8100062F024E363030382D4B44524CD1
06-10-2025 23:12:53.165,31,RECV,7E000F81000536024E353030382D544E5654AD
06-10-2025 23:12:53.264,32,RECV,7E000F81000834024E383030392D46594836D7
06-10-2025 23:12:53.284,33,RECV,7E000F8100073B024E373030392D49464844D4
06-10-2025 23:12:53.284,34,RECV,7E000F8100062F024E363030392D4F533238F1
06-10-2025 23:12:53.284,35,RECV,7E000F81000536024E353030392D474A3154E2
06-10-2025 23:12:53.365,36,RECV,7E000F81000834024E383031302D53563048DB
06-10-2025 23:12:53.365,37,RECV,7E000F8100073B024E373031302D38505938DE
06-10-2025 23:12:53.365,38,RECV,7E000F81000630024E363031302D4F525445CA
06-10-2025 23:12:53.365,39,RECV,7E000F81000536024E353031302D57413237FF
06-10-2025 23:12:53.415,40,RECV,7E000F81000834024E383031312D5149303001
06-10-2025 23:12:53.465,41,RECV,7E000F8100073B024E373031312D56504349C4
06-10-2025 23:12:53.465,42,RECV,7E000F8100062F024E363031312D314B4248FE
06-10-2025 23:12:53.465,43,RECV,7E000F81000536024E353031312D414F5348D4
06-10-2025 23:12:53.515,44,RECV,7E000F81000834024E383031322D3145314A09
06-10-2025 23:12:53.526,45,RECV,7E000F8100073B024E373031322D5A58504EA5
06-10-2025 23:12:53.529,46,RECV,7E000F8100062F024E363031322D4D44314EF3
06-10-2025 23:12:53.529,47,RECV,7E000F81000536024E353031322D4F544448CF
06-10-2025 23:12:53.616,48,RECV,7E000F81000833024E383031332D38543141FC
06-10-2025 23:12:53.616,49,RECV,7E000F8100073D024E373031332D4A345A33E7
06-10-2025 23:12:53.616,50,RECV,7E000F8100062E024E363031332D50465645D2
06-10-2025 23:12:53.616,51,RECV,7E000F81000535024E353031332D54453150E4
06-10-2025 23:12:53.716,52,RECV,7E000F81000836024E383031342D4854554ABB
06-10-2025 23:12:53.719,53,RECV,7E000F8100073C024E373031342D354D373801
06-10-2025 23:12:53.719,54,RECV,7E000F81000630024E363031342D5A554A30D7
06-10-2025 23:12:53.744,55,RECV,7E000F81000536024E353031342D485A5445C1
06-10-2025 23:12:53.816,56,RECV,7E000F81000836024E383031352D584E3357C5
06-10-2025 23:12:53.816,57,RECV,7E000F8100073D024E373031352D45395841D9
06-10-2025 23:12:53.817,58,RECV,7E000F8100062E024E363031352D4946514FD2
06-10-2025 23:12:53.876,59,RECV,7E000F81000832024E383031362D335A3846ED
06-10-2025 23:12:53.903,60,RECV,7E000F81000739024E373031362D35555852BF
