05-05-2025 11:56:01.728,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

05-05-2025 11:27:11.424,0,RECV,7E000F8100007D31024E343030302D4556433519
05-05-2025 11:27:11.426,1,RECV,7E000F81000014024E333030302D483134413C
05-05-2025 11:27:11.434,2,RECV,7E000F8100007D31024E343030312D474C4D4A01
05-05-2025 11:27:11.435,3,RECV,7E000F8100007D31024E343030322D4E3448322E
05-05-2025 11:27:11.435,4,RECV,7E000F81000038024E383030312D4B4D5538DB
05-05-2025 11:27:11.474,5,RECV,7E007D338100007D33000AFFFFFFFFFFFFFFFF0000005348CE
05-05-2025 11:27:11.477,6,RECV,7E007D338100007D31000CFFFFFFFFFFFFFFFF0000005348CE
05-05-2025 11:27:11.477,7,RECV,7E000F8100003E024E383030322D454632320A
05-05-2025 11:27:11.485,8,RECV,7E000F8100007D33024E333030312D4E545558DB
05-05-2025 11:27:11.486,9,RECV,7E000F8100007D31024E343030332D36384F5A12
05-05-2025 11:27:11.486,10,RECV,7E000F81000048024E373030342D47563358C6
05-05-2025 11:27:11.486,11,RECV,7E000F8100007D31024E343030342D5536543415
05-05-2025 11:27:11.486,12,RECV,7E007D338100003E000CFFFFFFFFFFFFFFFF0000005348A1
05-05-2025 11:27:11.524,13,RECV,7E000F8100007D31024E343030352D534F394903
05-05-2025 11:27:11.524,14,RECV,7E000F8100007D33024E333030322D57474158F2
05-05-2025 11:27:11.524,15,RECV,7E000F8100007D31024E343030362D3731453940
05-05-2025 11:27:11.524,16,RECV,7E000F81000048024E373030382D4451584CB1
05-05-2025 11:27:11.524,17,RECV,7E000F8100007D31024E343030372D57554845EC
05-05-2025 11:27:11.524,18,RECV,7E000F8100003E024E383030332D55435A52B4
05-05-2025 11:27:11.524,19,RECV,7E000F81000047024E373030392D57495430C6
05-05-2025 11:27:11.574,20,RECV,7E000F81000048024E373031302D51584D36C5
05-05-2025 11:27:11.630,21,RECV,7E000F8100007D31024E343030382D414A4B58F6
